project,sha,issue
wicket,f1d687d12818cec36269161718f19b6e4d5a3a7a,Improvement
wicket,b2e5e3e0d3f49fa3b0588a190f611b254ebd9c09,Improvement
wicket,4fc462187d294222372ef73951c5d4c849c148d5,Bug
wicket,463e6039a360f7e1088ba4f64cef9aab04f84766,Improvement
wicket,f77333d453add7faec1e260a5f07bca808146b0b,Improvement
wicket,fa878fd3686337d17e33455132d35c578bd812e9,Sub-task
wicket,b895a17d02a6dbe0d345954cf2c86dfe8d903672,Bug
wicket,7f4280ef75490052dc73ea0b39350196c5f91862,Bug
wicket,2d4428b26253296f01e3c472631bb63707296366,Improvement
wicket,b61fe92cbc0b8a508b1d558d940b23d29e8fc878,Bug
wicket,e0d2b7c38188f34d669a47c6f22d8965fa0c295a,Improvement
wicket,ba295854200a3a8549f79d4bd4328dae03d00ff1,Bug
wicket,bbe5e924cb94f0967f56668dd1ac5fed79a354c7,Bug
wicket,2a7081f765150c1544c790f53c16df68269913ae,Bug
wicket,1f8279d1acdef9b0a9b5835bac91cd94ea90ac42,New Feature
wicket,d71a4cc86a2a4b10aacf222f219ee8af94fe0b48,Bug
wicket,cfe68d77de3f621a950ce189ad2551319953cdd8,Bug
wicket,08ad55b825683495a12c6159fcc93432b6c7515a,Improvement
wicket,1d880c922951f368fe09a312b72959615efdeaa4,Bug
wicket,97fe504cff46e5e155ebf136ef1cbb946af2b83f,New Feature
wicket,54410799a7ddd41cf86fbb33f41be318ffc95ba1,Test
wicket,6efe7a8483de650a75144b908f6ba04f814dabaf,Improvement
wicket,e6479b9ce3c24d1b9889eb929b44cb37dbf40a28,Bug
wicket,285beae65a6e75223636751ed8f2782aee732338,Bug
wicket,8e27b4be507d1ffa5b951b8fadc1809c282c5dec,Bug
wicket,f072c5076f1dae4c05dac44659187345f6d8af39,Task
wicket,c3467d39a11db5ff585921af475069cab0f5f230,Improvement
wicket,46e0e57999fc03741921d10b75b089cafea3b860,Bug
wicket,752738aaddb393693bccbe712114bbe2c33428b2,Bug
wicket,4197ca6ad15b4b2f4cb096e3ae8f2c5ac3648408,Wish
wicket,84c3baac6013773c470114124c2066d5b2394adc,Bug
wicket,b01d3028399a786cb8e10d5d2fe763e9bf997c45,Bug
wicket,81cd1dd2477bad63859eec57406519a94660ee4b,Bug
wicket,4e6fe555baa6e020396827749c2c5f3234efdaa5,Sub-task
wicket,d5ae7af796ee96f2977e244271d43984bfce1ab7,Bug
wicket,d4a7ba63e45c3b06b1008c6ae849e05994cffe4e,Improvement
wicket,c2b3b227c10d1d9af15c0445779d653e57484301,Bug
wicket,b6d66095bb24f18b5770830170094eab5d644dff,Improvement
wicket,c61455e9a451d5b8af1930068492a47826cc83e4,Sub-task
wicket,808735047fae330d6dd6f6d91c7c7b2baefcc411,Bug
wicket,ce74f05b05ceb83c6c6f5a9fe160fac8d3130c9b,Bug
wicket,2ac00ac9e86147f0ed5ab81971701d43ab1c041b,Bug
wicket,9ef0061fdce5d9538ba2ce5cd37210c1d9a67358,Task
wicket,3e31389434c51c9624fec2d4ae8fc7112a61a1f8,Sub-task
wicket,bdda450fba0ead1eceb21e60243c60f7b0e2d817,Improvement
wicket,5ea553b23017466c5068a7d2b5813c789095da32,Bug
wicket,3515dafdb267ad97a89034aa3993c3d6ea8b8a41,Improvement
wicket,35cd188dfc0a7324f7dab342e085764234702184,Bug
wicket,b2b4c7b5f909dda2fdd112bdddaa7678102d5288,Improvement
wicket,f3c873c7bc8af199a428c59c072902b29aad8b4b,Bug
wicket,ea67b609a31e3b0a228a8f224a4bf1a13930f680,New Feature
wicket,617ee7f4b6d3fc44e290cc11d2c104e095f4088f,Improvement
wicket,7f40ec1ce9092e8620454d53c243c7d75cf812ce,Bug
wicket,2e74e97feda839fc78fbff7b28d1c5e5eb7af08b,Improvement
wicket,841452ffaaee48fc78bf5e4aaa6054dd22b48209,Bug
wicket,145da0212480f26b571208968e299abdfd951e2b,Bug
wicket,a027989deda739aa981912161f40431ae7a93a6c,Task
wicket,282f4857e39e8787453b4b57511938d0b990f504,Bug
wicket,3fa97daf016232ab1c67dd463afa8367db5af92d,Improvement
wicket,161ff314e7fe39f883f96ca4116c790a6457e052,Bug
wicket,537fef6811b884bf1a698756474a1a9daa29ca93,Bug
wicket,10fda3caef31515c8af50cad4bd7ad06b7b71780,Bug
wicket,b487602e156bc230a91d8eb5a0b317d34827bd30,Improvement
wicket,9da430fb13f97c80faa8aa3f0142f7fcba5d4784,Bug
wicket,c4d044ef6138d458f4113c8c057331373d3f300d,Improvement
wicket,3883c90b86c455a8a1ab5837433fd6147dbdd4d1,Improvement
wicket,e2aab913350cc88d0946674c8bd5d1578d66f385,Improvement
wicket,72c0970c942121b49826fb9d26c2783df6fe3379,Bug
wicket,e6582c5299c53ea6689d8a95c21e47df8c8a8877,Bug
wicket,c75daba75ebfab3184a52bf7229bb0c60260a66d,Improvement
wicket,0e8ad5133bab476d639d98e108336928e6adafc4,Test
wicket,2b1784a8969e0b0a80222bbb63db576719b78e60,Bug
wicket,6b2a65b0f62ab8cb11aeabdb2bd4c551f7433268,Improvement
